crate	config	stage	reason
bore	lto-fat_opt-3_panic-unwind	build	   |                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^  error: could not compile `proc-macro2` (lib) due to 1 previous error warning: build failed, waiting for other jobs to finish... error: could not compile `rustix` (lib) due to 4 previous errors
bore	lto-fat_opt-3_panic-abort	build	 For more information about this error, try `rustc --explain E0635`. error: could not compile `proc-macro2` (lib) due to 1 previous error warning: build failed, waiting for other jobs to finish... error: could not compile `rustix` (lib) due to 4 previous errors
bore	lto-fat_opt-z_panic-unwind	build	   Compiling fastrand v1.9.0 For more information about this error, try `rustc --explain E0635`. error: could not compile `proc-macro2` (lib) due to 1 previous error warning: build failed, waiting for other jobs to finish... error: could not compile `rustix` (lib) due to 4 previous errors
bore	lto-fat_opt-z_panic-abort	build	   Compiling backtrace v0.3.67 For more information about this error, try `rustc --explain E0635`. error: could not compile `proc-macro2` (lib) due to 1 previous error warning: build failed, waiting for other jobs to finish... error: could not compile `rustix` (lib) due to 4 previous errors
bore	lto-thin_opt-3_panic-unwind	build	   Compiling ryu v1.0.13 For more information about this error, try `rustc --explain E0635`. error: could not compile `proc-macro2` (lib) due to 1 previous error warning: build failed, waiting for other jobs to finish... error: could not compile `rustix` (lib) due to 4 previous errors
bore	lto-thin_opt-3_panic-abort	build	 For more information about this error, try `rustc --explain E0635`. error: could not compile `proc-macro2` (lib) due to 1 previous error warning: build failed, waiting for other jobs to finish... error: could not compile `rustix` (lib) due to 4 previous errors
bore	lto-thin_opt-z_panic-unwind	build	 error: could not compile `rustix` (lib) due to 4 previous errors warning: build failed, waiting for other jobs to finish... For more information about this error, try `rustc --explain E0635`. error: could not compile `proc-macro2` (lib) due to 1 previous error
bore	lto-thin_opt-z_panic-abort	build	 For more information about this error, try `rustc --explain E0635`. error: could not compile `proc-macro2` (lib) due to 1 previous error warning: build failed, waiting for other jobs to finish... error: could not compile `rustix` (lib) due to 4 previous errors
dog	lto-fat_opt-3_panic-unwind	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
dog	lto-fat_opt-3_panic-abort	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
dog	lto-fat_opt-z_panic-unwind	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
dog	lto-fat_opt-z_panic-abort	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
dog	lto-thin_opt-3_panic-unwind	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
dog	lto-thin_opt-3_panic-abort	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
dog	lto-thin_opt-z_panic-unwind	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
dog	lto-thin_opt-z_panic-abort	build	       https://github.com/sfackler/rust-openssl#linux    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
sniffnet	lto-fat_opt-3_panic-unwind	build	   HINT: if you have installed the library, try setting PKG_CONFIG_PATH to the directory containing `alsa.pc`.    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
sniffnet	lto-fat_opt-3_panic-abort	build	   HINT: if you have installed the library, try setting PKG_CONFIG_PATH to the directory containing `alsa.pc`.    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
sniffnet	lto-fat_opt-z_panic-unwind	build	   HINT: if you have installed the library, try setting PKG_CONFIG_PATH to the directory containing `alsa.pc`.    note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace warning: build failed, waiting for other jobs to finish...
