crate,config,lto,opt,panic,rule,n_fdes,n_gt_known,n_gt_excluded_unknown_or_conflict,coverage,ambiguous_fraction,predicted_author,predicted_dep,actual_author,actual_workspace,actual_dep,actual_std,tp_author,tp_dep,precision_author,precision_dep,recall_author_excl,recall_author_ambig_err,recall_dep_excl,recall_dep_ambig_err
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,A@1,2508,2389,119,0.27392344497607657,0.0,12,675,49,0,1132,1208,10,419,0.8333333333333334,0.6207407407407407,0.20408163265306123,0.20408163265306123,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,A@2,2508,2389,119,0.27392344497607657,0.0035885167464114833,3,675,49,0,1132,1208,2,419,0.6666666666666666,0.6207407407407407,0.04878048780487805,0.04081632653061224,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,A@3,2508,2389,119,0.27392344497607657,0.003987240829346092,2,675,49,0,1132,1208,1,419,0.5,0.6207407407407407,0.025,0.02040816326530612,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,A@4,2508,2389,119,0.27392344497607657,0.004784688995215311,0,675,49,0,1132,1208,0,419,,0.6207407407407407,0.0,0.0,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,A@5,2508,2389,119,0.27392344497607657,0.004784688995215311,0,675,49,0,1132,1208,0,419,,0.6207407407407407,0.0,0.0,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,A@6,2508,2389,119,0.27392344497607657,0.004784688995215311,0,675,49,0,1132,1208,0,419,,0.6207407407407407,0.0,0.0,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,B@1,2508,2389,119,0.27392344497607657,0.0,16,671,49,0,1132,1208,10,419,0.625,0.624441132637854,0.20408163265306123,0.20408163265306123,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,B@2,2508,2389,119,0.27392344497607657,0.0035885167464114833,7,671,49,0,1132,1208,2,419,0.2857142857142857,0.624441132637854,0.04878048780487805,0.04081632653061224,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,B@3,2508,2389,119,0.27392344497607657,0.003987240829346092,6,671,49,0,1132,1208,1,419,0.16666666666666666,0.624441132637854,0.025,0.02040816326530612,0.37014134275618377,0.37014134275618377
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,B@4,2508,2389,119,0.27392344497607657,0.004784688995215311,4,671,49,0,1132,1208,0,419,0.0,0.624441132637854,0.0,0.0,0.37014134275618377,0.37014134275618377
