rule	n	coverage	precision_author
A	1	0.19292958001617844	0.5469014561462919
A	2	0.19292958001617844	0.3761384335154827
A	3	0.19292958001617844	0.26229508196721313
A	4	0.19292958001617844	0.21568627450980393
A	5	0.19292958001617844	0.17857142857142858
A	6	0.19292958001617844	0.2288135593220339
B	1	0.19292958001617844	0.5213855421686747
B	2	0.19292958001617844	0.3769113149847095
B	3	0.19292958001617844	0.29766803840877915
B	4	0.19292958001617844	0.2642706131078224
B	5	0.19292958001617844	0.2335958005249344
B	6	0.19292958001617844	0.29537366548042704
