crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
bandwhich,lto-fat_opt-3_panic-abort,c1d83a3a8d39aeee02777e5ae08c5b630166f81102e84bb3742df579b19938ba,eh_frame,2508,1086,305,2608,True,True,2508,,['bandwhich'],v0,2508,2389,49,1132,1208,0
bandwhich,lto-fat_opt-3_panic-unwind,a314718f3412b07177da1cdaaba1cda5994914ef57383369e7693017ffb70e3f,eh_frame,3037,1088,304,2611,True,True,3037,,['bandwhich'],v0,3037,2917,54,1170,1693,0
bandwhich,lto-fat_opt-z_panic-abort,2809aea35f0508876dae31f25824968109973708cd078131351999681d288e3e,eh_frame,4164,1224,325,2688,True,True,4164,,['bandwhich'],v0,4164,3946,62,1811,2073,0
bandwhich,lto-fat_opt-z_panic-unwind,cccf780abd6f12aa0fffe90eef4f8d2f7ced11784a88ffbee6deaf64e141c837,eh_frame,4626,1229,327,2701,True,True,4626,,['bandwhich'],v0,4626,4403,63,1846,2494,0
bandwhich,lto-thin_opt-3_panic-abort,bc7b95a580489fd5123ff6ba51f43425c3e2b4f5113ad5b8d779f039a03bc2e1,eh_frame,3146,1387,332,4928,True,True,3146,,['bandwhich'],v0,3146,2954,49,1465,1440,0
bandwhich,lto-thin_opt-3_panic-unwind,e28c7bfaf294f7409fa88df0167b97decf023abe49cbc7e415b4e151e007e157,eh_frame,3775,1396,332,4950,True,True,3775,,['bandwhich'],v0,3775,3581,54,1506,2021,0
bandwhich,lto-thin_opt-z_panic-abort,1ce56d74eefb7804a67cc19284aa62e4c7e09a8b7012d02cc969c66b8f413bdc,eh_frame,6971,1584,370,7910,True,True,6971,,['bandwhich'],v0,6971,6584,63,3111,3410,0
bandwhich,lto-thin_opt-z_panic-unwind,8a6de41ca88c80051eb2e81924735215af5b2f105259169c1613377730bc7e81,eh_frame,7497,1589,370,7996,True,True,7497,,['bandwhich'],v0,7497,7109,63,3142,3904,0
bat,lto-fat_opt-3_panic-abort,bf4edbe0777c3f12e83baac6cfc3a8cfb7525eb89c5692bd00018745b2d996df,eh_frame,5066,2490,488,12639,True,True,5066,,['bat'],v0,5066,4637,267,2455,1915,0
bat,lto-fat_opt-3_panic-unwind,184797b0347180b75c046c505736019256aa2b1f23e15322dbcf875243438422,eh_frame,5773,2493,488,12664,True,True,5773,,['bat'],v0,5773,5340,265,2507,2568,0
bat,lto-fat_opt-z_panic-abort,d85616e36d7437b207d3da189412f05f539916dc2c3cfb4567ef114c4135d01a,eh_frame,7574,3160,541,13500,True,True,7574,,['bat'],v0,7574,6851,287,3306,3258,0
bat,lto-fat_opt-z_panic-unwind,f864e4a9f75184c39482d8b7cfdf80ef24592d5569b50b67c797991087ffe014,eh_frame,8209,3167,542,13508,True,True,8209,,['bat'],v0,8209,7482,288,3361,3833,0
bat,lto-thin_opt-3_panic-abort,6da1dea19217dead3bb4a937bcab7527930572f3d1340b0ba772ed98f72045ea,eh_frame,6206,2975,496,15571,True,True,6206,,['bat'],v0,6206,5615,284,2852,2479,0
bat,lto-thin_opt-3_panic-unwind,dd95c41a3de8c752223fadb25a6a9548e1351eec0d95458c441bd996365ab453,eh_frame,7114,2997,498,15641,True,True,7114,,['bat'],v0,7114,6517,284,2924,3309,0
bat,lto-thin_opt-z_panic-abort,fb3482054f8b014765cd00c39aec8dcad572088ecf9e72965bdebc49a0fb0375,eh_frame,13694,3817,553,22746,True,True,13694,,['bat'],v0,13694,12629,335,5586,6708,0
bat,lto-thin_opt-z_panic-unwind,9990aba691f5aa755307691792e2ae48f4fe49a1b194b23448451bc95e985e3d,eh_frame,14482,3825,554,22836,True,True,14482,,['bat'],v0,14482,13411,336,5620,7455,0
bottom,lto-fat_opt-3_panic-abort,8ea16f3a86bdbc1df182586d09ddde942a965f3015ad676c0dac2c8ec5ca9d94,eh_frame,3481,1729,307,10558,True,True,3481,,"['bottom', 'btm']",v0,3481,3335,330,1466,1539,0
bottom,lto-fat_opt-3_panic-unwind,726c8974d5667887da757b1b76ec100709cd7a413b25592ef584f7f8cf8f272c,eh_frame,4069,1733,309,10559,True,True,4069,,"['bottom', 'btm']",v0,4069,3917,331,1549,2037,0
bottom,lto-fat_opt-z_panic-abort,a32341c41172c7a65c376141e28922a6b6f162c0752c148f84ac8cd4e752149b,eh_frame,5621,2000,327,10914,True,True,5621,,"['bottom', 'btm']",v0,5621,5285,352,2276,2657,0
bottom,lto-fat_opt-z_panic-unwind,3bdaaa9926b500976ca8df02fc6f8ffddb0cc33ee131d2c9e409276ec91ae922,eh_frame,6004,2005,330,10931,True,True,6004,,"['bottom', 'btm']",v0,6004,5670,357,2328,2985,0
bottom,lto-thin_opt-3_panic-abort,d8d16e333c46df2fc5e5cce49a4a37b0875ef38878c14480796322b61d1f30ef,eh_frame,3968,1959,312,12319,True,True,3968,,"['bottom', 'btm']",v0,3968,3768,369,1617,1782,0
