crate,config,lto,opt,panic,role,path,size_bytes,sha256
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,debug,bench/origin/build/bandwhich/lto-fat_opt-3_panic-abort/bandwhich.debug,5293672,e52de6bc69bde428eb36509daa61f320000f1ac164c3f430f0f277c31f8271e8
bandwhich,lto-fat_opt-3_panic-abort,fat,3,abort,stripped,bench/origin/build/bandwhich/lto-fat_opt-3_panic-abort/bandwhich.stripped,2487800,c1d83a3a8d39aeee02777e5ae08c5b630166f81102e84bb3742df579b19938ba
bandwhich,lto-fat_opt-3_panic-unwind,fat,3,unwind,debug,bench/origin/build/bandwhich/lto-fat_opt-3_panic-unwind/bandwhich.debug,5778984,df4c1efe708423c98b875091d83b9e49158c0e0ae6aebf181b18a5f1d49d17b2
bandwhich,lto-fat_opt-3_panic-unwind,fat,3,unwind,stripped,bench/origin/build/bandwhich/lto-fat_opt-3_panic-unwind/bandwhich.stripped,2814872,a314718f3412b07177da1cdaaba1cda5994914ef57383369e7693017ffb70e3f
bandwhich,lto-fat_opt-z_panic-abort,fat,z,abort,debug,bench/origin/build/bandwhich/lto-fat_opt-z_panic-abort/bandwhich.debug,4845608,91cb3f159309d7749086ed4a83dbdb2d26b88c8b7a6e97db551a2d7d6d51343a
bandwhich,lto-fat_opt-z_panic-abort,fat,z,abort,stripped,bench/origin/build/bandwhich/lto-fat_opt-z_panic-abort/bandwhich.stripped,1841520,2809aea35f0508876dae31f25824968109973708cd078131351999681d288e3e
bandwhich,lto-fat_opt-z_panic-unwind,fat,z,unwind,debug,bench/origin/build/bandwhich/lto-fat_opt-z_panic-unwind/bandwhich.debug,5243528,4bdcbc159be92d9cc568c6fd0ba85df8566fa54bd5e939670e233490af1b0161
bandwhich,lto-fat_opt-z_panic-unwind,fat,z,unwind,stripped,bench/origin/build/bandwhich/lto-fat_opt-z_panic-unwind/bandwhich.stripped,2078816,cccf780abd6f12aa0fffe90eef4f8d2f7ced11784a88ffbee6deaf64e141c837
bandwhich,lto-thin_opt-3_panic-abort,thin,3,abort,debug,bench/origin/build/bandwhich/lto-thin_opt-3_panic-abort/bandwhich.debug,6139024,504c460e8d92058c754f8cf2d00adfc9258e2679a36a4219711b9c4eadefcb18
bandwhich,lto-thin_opt-3_panic-abort,thin,3,abort,stripped,bench/origin/build/bandwhich/lto-thin_opt-3_panic-abort/bandwhich.stripped,2870280,bc7b95a580489fd5123ff6ba51f43425c3e2b4f5113ad5b8d779f039a03bc2e1
