tier A dev 19,291 rows, 40 atoms, N_global=90,349 (6s)
  atoms: ['N_win_rel >= 3', 'N_win_rel >= 5', 'X_caller_rel >= 1', 'C_user >= 2', 'X_callee_rel >= 3', 'X_caller_all_rel >= 1', 'N_win_rel >= 8', 'M_rel_line_span >= 2', 'N_win_rel_frac <= 0.5', 'N_win_rel_frac >= 0.667', 'N_win_rel_frac <= 0.667', 'M_rel_frac <= 0.5', 'M_rel_line_span <= 1', 'N_next_reg >= 1', 'M_rel_line_span >= 1', 'X_caller_rel <= 5', 'X_caller_rel >= 6', 'M_rel_lines <= 1', 'M_rel_lines >= 2', 'G_relro_dens >= 1', 'G_n_ref_rodata >= 1', 'M_rel_file_frac <= 0.5', 'G_loc_per_kb >= 4.99', 'G_loc_per_kb <= 4.99', 'G_n_uncond_br <= 1', 'G_n_uncond_br >= 2', 'C_user <= 1', 'X_caller_with_rel <= 1', 'X_caller_with_rel >= 2', 'X_in_deg <= 1', 'X_in_deg >= 2', 'X_caller_max_rel >= 6', 'X_caller_max_rel <= 5', 'X_caller_max_rel <= 6', 'M_rel_frac >= 0.875', 'M_rel_file_frac <= 0.667', 'M_rel_file_frac >= 0.667', 'M_rel_frac <= 0.875', 'N_prev_reg >= 1', 'P_nonrel >= 1']
R1 P=0.9429 Rg=0.0623 | R2 P=0.9567 Rg=0.0474 | R3 P=0.9067 Rg=0.1002
  tree d2 reg0.02 K 1: P=0.8474 Rg=0.1809 n=19291 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.02 K 2: P=0.8474 Rg=0.1809 n=19291 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.02 K 3: P=0.8896 Rg=0.1607 n=16319 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.02 K 4: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.02 K 6: P=0.9377 Rg=0.1166 n=11236 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.02 K 8: P=0.9340 Rg=0.0865 n=8364 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.01 K 1: P=0.8474 Rg=0.1809 n=19291 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.01 K 2: P=0.8670 Rg=0.1781 n=18559 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.01 K 3: P=0.8896 Rg=0.1607 n=16319 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.01 K 4: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.01 K 6: P=0.9377 Rg=0.1166 n=11236 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.01 K 8: P=0.9511 Rg=0.0930 n=8836 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.005 K 1: P=0.8605 Rg=0.1802 n=18925 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.005 K 2: P=0.8670 Rg=0.1781 n=18559 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.005 K 3: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.005 K 4: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.005 K 6: P=0.9377 Rg=0.1166 n=11236 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.005 K 8: P=0.9511 Rg=0.0930 n=8836 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.0025 K 1: P=0.8605 Rg=0.1802 n=18925 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.0025 K 2: P=0.8670 Rg=0.1781 n=18559 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.0025 K 3: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.0025 K 4: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.0025 K 6: P=0.9377 Rg=0.1166 n=11236 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.0025 K 8: P=0.9511 Rg=0.0930 n=8836 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.001 K 1: P=0.8605 Rg=0.1802 n=18925 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.001 K 2: P=0.8670 Rg=0.1781 n=18559 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.001 K 3: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.0s
  tree d2 reg0.001 K 4: P=0.9129 Rg=0.1440 n=14254 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.001 K 6: P=0.9377 Rg=0.1166 n=11236 opt=True Status.CONVERGED 0.1s
  tree d2 reg0.001 K 8: P=0.9511 Rg=0.0930 n=8836 opt=True Status.CONVERGED 0.1s
  tree d3 reg0.02 K 1: P=0.8474 Rg=0.1809 n=19291 opt=True Status.CONVERGED 0.0s
  tree d3 reg0.02 K 2: P=0.8474 Rg=0.1809 n=19291 opt=True Status.CONVERGED 0.4s
  tree d3 reg0.02 K 3: P=0.8896 Rg=0.1607 n=16319 opt=True Status.CONVERGED 0.6s
  tree d3 reg0.02 K 4: P=0.9191 Rg=0.1516 n=14901 opt=True Status.CONVERGED 0.7s
  tree d3 reg0.02 K 6: P=0.9377 Rg=0.1166 n=11236 opt=True Status.CONVERGED 0.9s
  tree d3 reg0.02 K 8: P=0.9536 Rg=0.1069 n=10131 opt=True Status.CONVERGED 1.0s
  tree d3 reg0.01 K 1: P=0.8474 Rg=0.1809 n=19291 opt=True Status.CONVERGED 0.4s
  tree d3 reg0.01 K 2: P=0.8903 Rg=0.1712 n=17377 opt=True Status.CONVERGED 0.6s
  tree d3 reg0.01 K 3: P=0.9191 Rg=0.1516 n=14901 opt=True Status.CONVERGED 0.8s
  tree d3 reg0.01 K 4: P=0.9191 Rg=0.1516 n=14901 opt=True Status.CONVERGED 1.0s
