crate	config	stage	reason
json_diff_ng	-	clone	git clone failed
jless	lto-thin_opt-3_panic-unwind	build	warning: `jless` (bin "jless") generated 3 warnings error: could not compile `jless` (bin "jless") due to 1 previous error; 3 warnings emitted 
jless	cgu-16_lto-false_opt-3_panic-unwind	build	warning: `jless` (bin "jless") generated 3 warnings error: could not compile `jless` (bin "jless") due to 1 previous error; 3 warnings emitted 
mprocs	lto-thin_opt-3_panic-unwind	build	error: could not compile `rustix` (lib) due to 4 previous errors warning: build failed, waiting for other jobs to finish... 
mprocs	cgu-16_lto-false_opt-3_panic-unwind	build	error: could not compile `rustix` (lib) due to 4 previous errors warning: build failed, waiting for other jobs to finish... 
silicon	lto-thin_opt-3_panic-unwind	build	 error: could not compile `silicon` (bin "silicon") due to 1 previous error 
silicon	cgu-16_lto-false_opt-3_panic-unwind	build	 error: could not compile `silicon` (bin "silicon") due to 1 previous error 
rmesg	lto-thin_opt-3_panic-unwind	build	error: could not compile `num-bigint` (lib) due to 4 previous errors warning: build failed, waiting for other jobs to finish... 
rmesg	cgu-16_lto-false_opt-3_panic-unwind	build	error: could not compile `num-bigint` (lib) due to 4 previous errors warning: build failed, waiting for other jobs to finish... 
lowcharts	lto-thin_opt-3_panic-unwind	build	error: could not compile `proc-macro2` (lib) due to 3 previous errors warning: build failed, waiting for other jobs to finish... 
lowcharts	cgu-16_lto-false_opt-3_panic-unwind	build	error: could not compile `proc-macro2` (lib) due to 3 previous errors warning: build failed, waiting for other jobs to finish... 
blondie	lto-thin_opt-3_panic-unwind	build	error: could not compile `windows-future` (lib) due to 16 previous errors warning: build failed, waiting for other jobs to finish... 
blondie	cgu-16_lto-false_opt-3_panic-unwind	build	error: could not compile `windows-future` (lib) due to 16 previous errors warning: build failed, waiting for other jobs to finish... 
