crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
ast-grep,cgu-16_lto-false_opt-3_panic-unwind,93d1e5539b80e183febfd166f110678d88a119661a3736272595dc8ffdfeb104,eh_frame,16285,3089,444,33606,True,True,16285,,"['ast_grep', 'sg']",legacy,16285,14457,312,6060,7451,634
ast-grep,lto-thin_opt-3_panic-unwind,f6220a4c203c188013f1f4fede0d430e7dc43e6581f9b144b9508ba1652ea105,eh_frame,9726,2756,441,26676,True,True,9726,,"['ast_grep', 'sg']",legacy,9726,8223,220,3216,4464,323
atuin,cgu-16_lto-false_opt-3_panic-unwind,3a68ada606fdb1ded350844de080549145240adc872c63dff2c3ebd2d6530e3a,eh_frame,49190,12867,1205,64072,True,True,49190,,['atuin'],v0,49190,45442,416,18761,24282,1983
atuin,lto-thin_opt-3_panic-unwind,af8dd0cf9ec680fdb01e1c35cc6d56a4ef5c1629067f180516eb2615e78e6683,eh_frame,28294,10104,1185,50879,True,True,28294,,['atuin'],v0,28294,24891,283,11683,11713,1212
bacon,cgu-16_lto-false_opt-3_panic-unwind,822e2e31537239861e3733828c7afd3995008c589bfae33db438aab48eaa8038,eh_frame,11036,2970,478,23376,True,True,11036,,['bacon'],v0,11036,10588,695,4657,5236,0
bacon,lto-thin_opt-3_panic-unwind,9f9105749c38763ead153658702f920f5120325b4575c10d8625445e8901eee6,eh_frame,7429,2610,472,14907,True,True,7429,,['bacon'],v0,7429,7097,503,3182,3412,0
bob-nvim,cgu-16_lto-false_opt-3_panic-unwind,165b5da697bc981ba8769a6a255c3c8ecea1da2f20d56c74a0587ed15ebcec97,eh_frame,12944,3806,599,21763,True,True,12944,,"['bob', 'bob_nvim']",v0,12944,12206,123,5742,6341,0
bob-nvim,lto-thin_opt-3_panic-unwind,7c81b2a013752bc6f96c40ee049546a3c7b8f1f42208ae4d2ca00e8b2b41dc8d,eh_frame,7948,3221,591,16194,True,True,7948,,"['bob', 'bob_nvim']",v0,7948,7395,52,3768,3575,0
dicom-dump,cgu-16_lto-false_opt-3_panic-unwind,6fb9c994307241e01cc11906b5ef795c63d4105c7ff63a28824d88fe7a068f62,eh_frame,6917,3058,327,14642,True,True,6917,,['dicom_dump'],v0,6917,6558,43,2490,3558,467
dicom-dump,lto-thin_opt-3_panic-unwind,d638251dc8ac39bbf46888c3bb88e3bc4b81bf39e5d2ec575cec150ce5563829,eh_frame,4040,2675,317,12501,True,True,4040,,['dicom_dump'],v0,4040,3789,37,1619,1888,245
difftastic,cgu-16_lto-false_opt-3_panic-unwind,3b9dd71db64a521e532e2f3e3a22d35c23a93ca029c88301e29cf65daf104ede,eh_frame,7584,2950,671,40883,True,True,7586,,"['difft', 'difftastic']",legacy,7584,5313,146,1637,3530,0
difftastic,lto-thin_opt-3_panic-unwind,2768db02ffdda746245d4fc2adc2e092599c1c8772778b37601c2e6e31e9d451,eh_frame,5760,2491,425,36462,True,True,5762,,"['difft', 'difftastic']",legacy,5760,3562,120,1224,2218,0
