name	bin_name	git_url	pinned_sha	actual_sha	cargo_lock_sha256
difftastic	difft	https://github.com/Wilfred/difftastic	HEAD	ae8c26ba16c1cd42899c4ebec0cd9cdbc8b5a5eb	46f0930a261d4586288a29d03b750b2f07019da24e83f278ef970136eacceb8d
bacon	bacon	https://github.com/Canop/bacon	HEAD	69c020dead3825ca93882eb641233ac446abfa2b	80e3964c085121784395b86d55acce2b9d14e12f25bc4c1292554fe51ee4c137
gitui	gitui	https://github.com/gitui-org/gitui	HEAD	2fa693cb6ed431b21ebc300dd02e83c2476699ce	d3cb5447849d9b6d70c74b82db2ee8448b9d9372c3939174c8717c0c58b813c7
gitu	gitu	https://github.com/altsem/gitu	HEAD	53edd1c35ee8aa83669afe3300f1a28e0e938b66	98839437180abe09290d716989ebbb8ed972a666f761c694b5d114c40488430e
jless	jless	https://github.com/PaulJuliusMartinez/jless	HEAD	e6cdef719c7319020391d6bbf838ab272ce44cf0	6a580570f2b17d839129b29604a60b0d4a19328e1370e7516c82040310b69f0d
mprocs	mprocs	https://github.com/pvolok/mprocs	HEAD	80ebe3139eb8fa6190b0bec61f505987f2770b5c	05c51cc67d8688a1623dc9a5ec05d43c945adbc0c21ac3df4d648d7462bf95dd
silicon	silicon	https://github.com/Aloxaf/silicon	HEAD	adf96cb7a79f90f038c2ef6a219e4579b3d445fd	d13d2e6772778700c2d33b81aa701f8753627c77d26f6ee71f3c9614dad082d9
monolith	monolith	https://github.com/Y2Z/monolith	HEAD	a6fc8d009514b2ea271dda2539f19a1f479ebfab	11bedc2d0abc8ded88f5b811cec805d953926fc1b2e06c00ec0b7e8eecaf9153
rink	rink	https://github.com/tiffany352/rink-rs	HEAD	abf3042c05988beee0d61b37b09f85af6beb4c46	2c3cedc807d62b27df3999e2693e2decf116ef7f253affd430f7a479d8967d32
genact	genact	https://github.com/svenstaro/genact	HEAD	75b4e67333d4421f536d57541e5a8c1db76849d6	2a63692708bd743df8b066b3c4d346b0a0f9d4e8b648d10ef3896318aea02a60
rustic	rustic	https://github.com/rustic-rs/rustic	HEAD	6b96f976ff437a0528a4742358b172b32c3e3932	0446331187440b8e5971c1537eabb5eb82e22896e64ee592f2e2db89881aa84a
tuc	tuc	https://github.com/riquito/tuc	HEAD	00bf52678333e49f8bbbf604c776cef5211ebf5c	4221f952fba7de9c5271cf67512e75e310bc5c0db64977592c487da3da533473
jnv	jnv	https://github.com/ynqa/jnv	HEAD	f25b1f0e78e909da6ebbd5c74a35f11e6c08e987	e82c655f134d0b3a7e6c1e22408d30736ae11d3637c9f043501cd3797593eff1
wiki-tui	wiki-tui	https://github.com/Builditluc/wiki-tui	HEAD	c938050a1c3845e356ac757faa838437480c6657	250ef6ea46df30fca9f917a55b55da8430d869796f4460e1596fbde97bd1d7b2
taskwarrior-tui	taskwarrior-tui	https://github.com/kdheepak/taskwarrior-tui	HEAD	cb5a1aa54572e34b40196531cb40ffe9da1b2f76	905b6dec5f42b22df8cadb8c0f5108ff729bd9a311645390b60df67a970a6050
hwatch	hwatch	https://github.com/blacknon/hwatch	HEAD	aeed51e5e5d138880e2a473af86effa42bfe3ce6	8ab958283256bdfb9e281059d1ab44163e016d1c12ed66dee46d4c8b906bd588
grass	grass	https://github.com/connorskees/grass	HEAD	a58f10afc59f7881779c609b256e9bda2db4cb5d	4ab0ccfb472d6a7c26fa0afaea4d90f5459eaf9d7a161a5e65f78d53cbe56b96
spider_cli	spider	https://github.com/spider-rs/spider	HEAD	15bda3160d93b083c0f602310744dc9a7a249141	a159ba99631268cc9e0482d5042391fab5728f388b6f92c0c06c43773b4dea38
dicom-dump	dicom-dump	https://github.com/Enet4/dicom-rs	HEAD	df2b9e4236298efa3fa37a1f360fc4bf284d586a	e22cf9368416184ad4cb6348b4bc3f697ea3de8d9d1660b2ea025c2eb210c77d
rust-script	rust-script	https://github.com/fornwall/rust-script	HEAD	99d2c790b303c1d75de5cd90499800283e4b9681	490ef83683c41e138f71ec23e71c6e51502e1e65af1dc1e2dda0874ed93bce25
espflash	espflash	https://github.com/esp-rs/espflash	HEAD	feb3cc7698b3ab7eb27d492b52888805bce1d53b	314cbbd1d551b579b3e81c49926fa217b590e97f0086cf4a59638318fde5d87c
dify	dify	https://github.com/jihchi/dify	HEAD	0e5f1fa546d7cd134cbb12cb019f337d36a3a053	a5b0015b93fb0478292a7cf87d40d6891f3933faf0b68c40a5f7293a57d41fdc
protofetch	protofetch	https://github.com/coralogix/protofetch	HEAD	38358ab2d6a1c04b4d8413606562d06f7e7f486b	a09273cfde0467d4486478dcefe68747e65beb892000041c952dfe5ca48c41a9
rmesg	rmesg	https://github.com/polyverse/rmesg	HEAD	427542802320aeaa2e0053c85f20fd0073b018bd	7f54f542e7b7ddbf2d537285483320a0e07a46cc6a932ad57513bff1e1ebd465
bob-nvim	bob	https://github.com/MordechaiHadad/bob	HEAD	b1143ed29aeb6e74dd6363a172f5427f1b2e96b3	473cc7072f01ad21c20ca4fda4f836cef2f8f291c0ec18f8041d01090b013a16
gifski	gifski	https://github.com/ImageOptim/gifski	HEAD	61ac230f65374c70f238cb35f9247cd22b4672f1	a2111a8f4009b4fe8591114170bcb1b482542a63cf2dbadec2925ca13200261e
lowcharts	lowcharts	https://github.com/juan-leon/lowcharts	HEAD	3e47c2cdfb890c1b4607c6a5a2555bb7b3d72662	24b2411ec27c94cb33465c6458bc50c8abdebddf785d6382db6cf107d332c8a3
tokio-console	tokio-console	https://github.com/tokio-rs/console	HEAD	b59758e5a6effe3a9df3ec84a2f28d319d178234	1d82bd1a6ec6ca643076f202c10069fb5e9da4c7900fe4353574c6aadd435ec2
komac	komac	https://github.com/russellbanks/Komac	HEAD	4ab48e7893b024d5718030064cea38239819108f	83765ed20c9e27ce98258c37c3f2eaa925ba2aa3f741add79f93c4388a8da277
flip-link	flip-link	https://github.com/knurling-rs/flip-link	HEAD	b74f61d43598c61216d034b83a85ca1a2fb53bc6	cf213cdb497da668be95269c71e786b65d609b9f378a3aa0716787d4df9b12cb
grcov	grcov	https://github.com/mozilla/grcov	HEAD	6efbc1d7604a22fae6ba145d1c3637f0bec7b1e6	fd78170972540ea4976a991c78a7b244a42e99d4e4eb9aa06e6e011ca287ad96
blondie	blondie	https://github.com/nico-abram/blondie	HEAD	d241bce21cd5f81f1f0eae1aabff4dadd8c556b0	0393d53be719a8daa4f2378b5730eaa6e0ec69404a096589197e1b00cbcc685e
hurl	hurl	https://github.com/Orange-OpenSource/hurl	HEAD	f0001cf9e1a048a9dc777e2354010d455c069b55	d8d2f62fb84881a3317071c1009dcf0428ce1747d1b5a217ce560ce1cb714173
mise	mise	https://github.com/jdx/mise	HEAD	6a13eb5d3f760eed673f34e182acb418c21dca6a	98b195b9c34a28f184ef2a2c6fef30b386c6106acfd11775239b0d9ced05e010
nushell	nu	https://github.com/nushell/nushell	HEAD	a854062f550a233ea8a3012d41634d07e3600f1d	eaa3050cd7540e061f660e419387a013b785666ffd1b288bffd64f26dfed1822
gitoxide	gix	https://github.com/GitoxideLabs/gitoxide	HEAD	e3a6fa1516481ec69ab00cddcca081ecdc52b4ca	9329b8c7ac6daf2c3f7e64aad2c88515033d2c7dd9f5e27352e021d210cc61c7
atuin	atuin	https://github.com/atuinsh/atuin	HEAD	905a0e752dd2aee2daad6e5b670a4bf7d6295e36	bffcfbbb95a3120104c1ac55482daf666e2c3de9232b269e6bade0118129f472
yazi-fm	yazi	https://github.com/sxyazi/yazi	HEAD	faa20dfb9bebe02dc38549ac7b95d5e480db3581	27239cc3c56a4ec8f86d5cf32692db230c596e2a2cec1e670c6edb919aae8108
television	tv	https://github.com/alexpasmantier/television	HEAD	88972b113c4bfc8e04f9a8a4d6cc6f12900d53f3	3bce946ab9b045ec4269173b20f14a9b4484e770bbd4d05d5d087c656547e55c
sccache	sccache	https://github.com/mozilla/sccache	HEAD	8ab39266246b26d736bee44dfa313ab0d5fceb1d	d51c507309dcd05c22529bd2a48a7dfd035f7b96ea7c6490264d53a5c45bad15
maturin	maturin	https://github.com/PyO3/maturin	HEAD	479658ad9bce22c6e4955b2e47182111c166e37c	55cd5302953baf66ef08c5552c2294944dfe65251bfa51370be83370848c6f56
ast-grep	ast-grep	https://github.com/ast-grep/ast-grep	HEAD	6cf4957f5151ec68c4434127d4d9cc0f35992a87	30cef763232b925fd4094223d6c534ad9b268532195c990af7a6dcc2b7cbf606
trunk	trunk	https://github.com/trunk-rs/trunk	HEAD	7403c41cb4a58a25f1f845056a7ae3fabe2d70b5	d1435c465739da251ba60f0dcce25a0d6e04286d4d6000c56a51919affbcaa1f
tree-sitter-cli	tree-sitter	https://github.com/tree-sitter/tree-sitter	HEAD	664e9a678667302fee9c705103072119b4fd4845	6c00c0b2b5092aadef25ff634c45d592a41d52c8ca99e29e97ac3404c8bebe14
