crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
ast-grep,c1,8f6cc8498e02a4474d42a993c6d289c8b7c373d2aec0263362d96e6fb8bd9013,eh_frame,16413,3119,446,33914,True,True,16413,,"['ast_grep', 'sg']",v0,16413,15428,353,6875,7209,991
ast-grep,c2,dd0a95e1da754c59f40791b0d77bd5313a2101805ab50f800a88f7c43c2fff92,eh_frame,30800,3852,469,48025,True,True,30800,,"['ast_grep', 'sg']",v0,30800,29167,516,13281,14193,1177
ast-grep,c3,b371b80f505a6c49ee6c7157cab0af6f4ae6ae2c986fa42d58ac6196d1c67f0b,eh_frame,11218,2843,445,27967,True,True,11218,,"['ast_grep', 'sg']",v0,11218,10368,267,4881,4662,558
ast-grep,c4,60a3cf2ffb3748218c46e51a466a598589c0eea00b4b53bd9b36662915d0827d,eh_frame,69079,4085,486,46875,True,True,69079,,"['ast_grep', 'sg']",v0,69079,64543,1030,27280,34135,2098
atuin,c1,3a68ada606fdb1ded350844de080549145240adc872c63dff2c3ebd2d6530e3a,eh_frame,49190,12867,1205,64072,True,True,49190,,['atuin'],v0,49190,45442,416,18761,24282,1983
atuin,c2,e2db001e47589b9907d36169b71de20525a8bffdf1de2f21c72bb75c0f9a8ce2,eh_frame,80621,13649,1285,87261,True,True,80621,,['atuin'],v0,80621,74645,436,28817,42901,2491
atuin,c3,ad1c5eb74def6592cec1f4e410f0aeaa5dec5388c2f10e0dccd111d2d788e349,eh_frame,31246,10292,1199,53658,True,True,31246,,['atuin'],v0,31246,27722,324,13310,12641,1447
bacon,c1,4e86df2fda5a245d44571258ad8bc5a5a923dbce09527356825ae53b25a59bfe,eh_frame,11091,2972,460,23818,True,True,11091,,['bacon'],v0,11091,10641,702,4667,5272,0
bacon,c2,ab839cfdd0f50f8d1cdfac12ed9d77783e013c52b61697e0dba3e18e38065aee,eh_frame,20229,3732,522,32377,True,True,20229,,['bacon'],v0,20229,19304,959,7951,10394,0
bacon,c3,d90d9969c4c5f3f546c6230740b2b679fe168c1575018c44a1a7b090832ab0bc,eh_frame,8400,2672,459,15868,True,True,8400,,['bacon'],v0,8400,8029,514,3693,3822,0
bacon,c4,d79fed87d59ca851fdc6916cf5622ee58431e001a37a288fbf0f00c22cb614b7,eh_frame,50377,4024,550,27599,True,True,50377,,['bacon'],v0,50377,46021,1699,16888,27434,0
bandwhich,c1,9e6c3b685cb7e23e3050170d3a56f01b17ac26c529254d363daca27d2532d5e3,eh_frame,5945,1524,332,6461,True,True,5945,,['bandwhich'],v0,5945,5661,60,2351,3250,0
bandwhich,c2,6e819f83a294dda50ba9ad31db7ea2fcdb37bcbe96240a91fd99e4e796c4fa47,eh_frame,10925,1684,353,9244,True,True,10925,,['bandwhich'],v0,10925,10441,82,4160,6199,0
bandwhich,c3,cb25d6bbbd42abc720f0bb201141891fbe09f44d50ce8f6c34411819884c5bf9,eh_frame,4474,1437,323,5685,True,True,4474,,['bandwhich'],v0,4474,4235,55,1853,2327,0
bandwhich,c4,d6b55f03f682a4bb2a2c0711c0e258ee9b039d601bf9bdbc3cbedf36773dc939,eh_frame,27714,1858,367,9733,True,True,27714,,['bandwhich'],v0,27714,25556,248,10174,15134,0
bat,c1,e3362746aed2187776732410aac6259943ae847772e54c093cd725fe118c8e8a,eh_frame,10323,3426,483,23085,True,True,10323,,['bat'],v0,10323,9622,331,4173,5118,0
bat,c2,a073c43899a61a64ba588c3e06d22e261d63b837c316cfd345ad7eb1f21de8e0,eh_frame,18984,4294,534,30919,True,True,18984,,['bat'],v0,18984,17706,375,6807,10524,0
bat,c3,76eca3d8d2fac511aa0a25dab4f9a4ac3da361dffc8db2a8a6578d416a4c1448,eh_frame,8078,3063,483,16509,True,True,8078,,['bat'],v0,8078,7447,311,3412,3724,0
bat,c4,fb5d8e434843539b8218a537f44008f534e4a36dc63a6f73d2cf57cea4bf7de7,eh_frame,50375,4542,560,26245,True,True,50375,,['bat'],v0,50375,45279,879,16200,28200,0
bob-nvim,c1,b30ddf3a9233e2e39c8054c67bb166f74baf21051bcdcdc70dc8b4c254258fb5,eh_frame,13044,3805,580,21913,True,True,13044,,"['bob', 'bob_nvim']",v0,13044,12306,117,5754,6435,0
bob-nvim,c2,b725aecef3bdc4743dfbc99bf6f41b468c19b4ff286a069dc3e1e0ce214343ab,eh_frame,23601,4475,639,28831,True,True,23601,,"['bob', 'bob_nvim']",v0,23601,22219,130,9672,12417,0
bob-nvim,c3,601ac44ac77f29a128d438f5c33d4dd23c68c235ac214bbe2691b35c672ba047,eh_frame,9118,3285,579,17298,True,True,9118,,"['bob', 'bob_nvim']",v0,9118,8498,56,4470,3972,0
bob-nvim,c4,2904552c13fc8edfc8164ba93aba3a1cc584de248708a329ae9432cfe8a21d04,eh_frame,52995,4581,665,26805,True,True,52995,,"['bob', 'bob_nvim']",v0,52995,48265,367,20956,26942,0
bore,c1,85888852f00740db534e75dc309f05a53096a95aa59bc54013ccb4e1d1087aef,eh_frame,3622,1104,217,3772,True,True,3622,,"['bore', 'bore_cli']",v0,3622,3430,31,1405,1994,0
bore,c2,7e614894b26363e38e81a0bcc0bc8e286b7b1cc0a0adf35dcbb3e0a030f05aa3,eh_frame,6284,1225,236,5720,True,True,6284,,"['bore', 'bore_cli']",v0,6284,5959,32,2459,3468,0
bore,c3,0ce2b90d5133f35b0c71345977f73f7f5d7f4a34b42eb4f616a5fa7cab537781,eh_frame,2746,1001,218,3438,True,True,2746,,"['bore', 'bore_cli']",v0,2746,2566,25,1120,1421,0
bore,c4,5238e9959a65030c4dba8bc513eacbc91e6e79219370ec58cc3cfd737c1b54cd,eh_frame,15516,1263,251,6180,True,True,15516,,"['bore', 'bore_cli']",v0,15516,14223,127,5456,8640,0
bottom,c1,262e0151b48296746df26a4ac2022d03617008814797e13abc793457a068bc1d,eh_frame,6678,2241,299,16552,True,True,6678,,"['bottom', 'btm']",v0,6678,6393,477,2316,3600,0
