crate	pool	repo_head	cargo_lock_sha256	remote
bandwhich	core	1899870cea8bb377948f05cfea64733ec6ea2cd6	46b07965b52c9b84eec42919a17be2cc92e74f5f6e4ff6c1e43fef1be37ddb31	https://github.com/imsnif/bandwhich
bat	core	78951393e29bfd2f2a45f4326b9d2bb5e737dd2a	1bb01d988467e71a177a225214580964ba0ac02bed341c8686666c7e9cb44d0f	https://github.com/sharkdp/bat
bore	core	00a735a89917642df62d84336a90d9476fa175b5	26d1ad0a1d32028a550c1ee3f32ead01791ee70186fe9c9ddba2b554f50bc75a	https://github.com/ekzhang/bore
bottom	core	8b2b3327b3e85ec22cc3151431c4056fc05a5aee	0b26fd7dff438b573ad8cd64b578fed70af1cd7bc8cf7224908ee56b08f17318	https://github.com/ClementTsang/bottom
dog	core	721440b12ef01a812abe5dc6ced69af6e221fad5	9982948905de573cfb0017163a31d84d740ff39eafb74eb790f30e3e16436bc0	https://github.com/ogham/dog
dprint	core	89ff90b3cc6f9fa211c82fb5865491c8865ea79a	cc44f0c27cf9ccece12e1097b33b0b53a9f3521d129eb7188e16f93e84d1d22b	https://github.com/dprint/dprint
dufs	core	fe7fd564f80dfbac361c8e0589c3845638149d38	114b8e0021e6630473baba623c327babd4b00c10de4807b1c97383a6fd0852e8	https://github.com/sigoden/dufs
dust	core	93fe658574b1677052fba8b042283174b0fdef49	81eee3fba68b4ef1c4b98f6aec1a199bb27d5d13cd595c16f62bda5f564e0c53	https://github.com/bootandy/dust
eza	core	471bfbc7b03cbac8c738e8d9050edb06ee79132a	0129ecd4d40b5a511c5f8ce81852171719678509ac942ea42ca9998525431ce2	https://github.com/eza-community/eza
fclones	core	a74f90d293e05856d19a4c0ac2b29b46ef16cf23	3f151455d8994d711d7576defe660d9c56e1cbac70b3dfb0781763bfcd2eed96	https://github.com/pkolaczk/fclones
fd	core	1bfeea237a48c9545211e5c21d623d398fa712c6	78893d822c41d58850b706ad9055c6b44dfe74e4a485c430e970fcdae275b020	https://github.com/sharkdp/fd
ferium	core	9d6f16a5397edbfde8cbe82c0e6657355105b7e1	7e9f3b13ac64123761a8adecd9c239d5e2ce3c2e36394baaa7d56522ab92d8bd	https://github.com/gorilla-devs/ferium
feroxbuster	core	378d75964c45db9c92826316ff631d34d59396c7	de98b15c506bd95705450f476782b172dd1ff54c316229acd55c55d756a50b29	https://github.com/epi052/feroxbuster
gping	core	edb335d424a156ca543ae61b0d79361842416fe7	3add2864c75b12c5f90912f2083182c07f326a7841114910ac8b3b9909572203	https://github.com/orf/gping
grex	core	99cc347707375e00514f938b76d885a201dfc110	efea320d0efe118ee4b68a8bfa76e40ff13e571157aec6a9baf030e89310e24a	https://github.com/pemistahl/grex
hexyl	core	6ecc29b9c8c84d08a7e860f7f69c22b113b480ea	8ea5d9783696026e5ca55d669dd91b38d8613e9fe4f5a5ad701281142adf291d	https://github.com/sharkdp/hexyl
hyperfine	core	f12f3d9f86f3643b3b7deace5e160b1f0f44d2b7	f3b341ae4c03197e61ee9e9b157c3a8669ea0cce23da68ded1e085fcbca8b9ba	https://github.com/sharkdp/hyperfine
just	core	c117d393a66cb4988c509f82df79ea687fd28c43	2ef3145629fe590fdd5f7effa0ad98de32fc65725e2193fcced44ab1d2d2db32	https://github.com/casey/just
miniserve	core	4dab4829184483e28b8a4464a3c953130cfe4592	d370b9bfaee4f1c9a005473761249395e8f2f0b4fc97bb85a4038362e25589d9	https://github.com/svenstaro/miniserve
mprocs	core	c2f76670a525b41154ac6a56cf7609f3d2a5fac2	05c51cc67d8688a1623dc9a5ec05d43c945adbc0c21ac3df4d648d7462bf95dd	https://github.com/pvolok/mprocs
mqttui	core	28c4ba2ebc69bb72a19f1efd4ab3caea04fd79d3	f6217d59c7696e33497659ce3a709fbc740b3078a05e0fcb556315c5e36ebc12	https://github.com/EdJoPaTo/mqttui
